LATITUDE,LONGITUD,ST_CASE,VE_TOTAL,DAY,MONTH,FATALS
42.9481,-78.8293,360576,1,18,5,1
42.5598,-75.0595,360577,1,21,8,1
43.1038,-76.2106,360578,1,21,8,1
40.8618,-73.5348,360579,1,21,8,1
43.1791,-77.6696,360580,3,24,8,1
43.1119,-77.9655,360581,1,23,8,2
40.8068,-73.9245,360582,2,1,8,1
42.1632,-73.9183,360583,2,23,8,1
99.9999,999.9999,360584,2,11,7,1
41.1172,-74.1166,360585,4,21,8,2
42.1814,-76.8316,360586,2,22,8,2
42.6833,-78.9454,360587,1,25,7,1
40.9097,-72.6337,360588,1,8,8,1
42.8541,-77.0106,360589,2,20,8,1
41.5663,-73.5939,360590,3,8,8,1
42.8049,-76.1498,360591,1,25,8,1
42.1858,-77.2396,360592,1,25,8,1
44.4562,-75.3546,360593,2,25,8,1
41.4845,-74.2939,360594,2,29,5,1
42.8474,-75.406,360595,2,4,8,1
40.6406,-73.9572,360596,1,26,8,1
43.1959,-76.0708,360597,2,13,8,1
43.0479,-76.9003,360598,1,27,8,1
41.8871,-73.7688,360599,1,27,8,1
43.4011,-76.2548,360600,2,16,8,1
43.5183,-75.7552,360601,1,29,8,1
42.0167,-75.9166,360602,1,27,8,1
42.8567,-77.0107,360603,1,28,8,1
42.0088,-77.6066,360604,2,27,8,1
40.7383,-73.8000,360605,1,29,8,1
41.7387,-73.8261,360606,1,29,8,2
42.1555,-77.0975,360607,1,30,8,1
40.7312,-73.3652,360608,1,30,8,1
99.9999,999.9999,360609,1,23,7,1
41.7656,-73.5176,360610,1,19,3,1
99.9999,999.9999,360611,3,1,9,1
41.7814,-73.9599,360612,1,1,9,1
43.0827,-75.3605,360613,1,22,6,1
43.1763,-77.5988,360614,2,2,9,1
42.9423,-78.8194,360615,1,2,9,1
42.1743,-75.9039,360616,1,6,9,1
42.5626,-77.0900,360617,1,30,8,1
40.7369,-73.2860,360618,2,12,7,3
43.0455,-78.3923,360619,3,3,9,1
40.6441,-73.9969,360620,1,6,9,1
43.2134,-76.7898,360621,1,6,9,1
43.0109,-77.4942,360622,1,5,9,1
42.9075,-78.8596,360623,2,20,8,1
40.8301,-73.0218,360624,1,20,6,1
40.8050,-73.2486,360625,1,24,6,1
40.7198,-73.2504,360626,2,21,6,1
40.9324,-73.8611,360627,1,7,9,1
40.8378,-73.9114,360628,1,17,5,1
42.5440,-79.0198,360629,2,7,9,1
40.6657,-73.8326,360630,3,7,9,1
43.0689,-76.1676,360632,1,1,8,1
